IP地址,数据中心,地区,城市,网络延迟
108.162.198.198,SJC,North America,San Jose,131 ms
104.16.42.153,SJC,North America,San Jose,137 ms
104.16.58.86,SJC,North America,San Jose,141 ms
104.18.112.240,SJC,North America,San Jose,141 ms
104.17.113.193,SJC,North America,San Jose,141 ms
104.17.172.56,SJC,North America,San Jose,142 ms
104.17.104.148,SJC,North America,San Jose,142 ms
104.16.57.140,SJC,North America,San Jose,142 ms
104.16.60.240,SJC,North America,San Jose,143 ms
104.17.112.199,SJC,North America,San Jose,144 ms
104.18.172.29,SJC,North America,San Jose,144 ms
104.18.108.82,SJC,North America,San Jose,145 ms
104.18.135.39,SJC,North America,San Jose,145 ms
104.18.169.136,SJC,North America,San Jose,147 ms
104.17.94.34,SJC,North America,San Jose,147 ms
104.16.12.240,SJC,North America,San Jose,148 ms
104.17.155.89,SJC,North America,San Jose,149 ms
104.18.139.149,SJC,North America,San Jose,149 ms
104.17.158.8,SJC,North America,San Jose,149 ms
104.16.11.247,SJC,North America,San Jose,149 ms
104.18.104.243,SJC,North America,San Jose,149 ms
104.18.115.88,SJC,North America,San Jose,150 ms
104.16.7.34,SJC,North America,San Jose,150 ms
104.19.166.194,SJC,North America,San Jose,151 ms
104.18.118.209,SJC,North America,San Jose,151 ms
104.19.170.193,SJC,North America,San Jose,151 ms
104.18.140.238,SJC,North America,San Jose,152 ms
104.18.143.88,SJC,North America,San Jose,152 ms
104.17.149.253,SJC,North America,San Jose,152 ms
104.19.175.58,SJC,North America,San Jose,152 ms
104.17.98.116,SJC,North America,San Jose,152 ms
104.19.174.142,SJC,North America,San Jose,153 ms
104.18.144.197,SJC,North America,San Jose,153 ms
104.17.147.91,SJC,North America,San Jose,153 ms
104.17.138.162,SJC,North America,San Jose,153 ms
104.18.156.13,SJC,North America,San Jose,153 ms
104.17.154.104,SJC,North America,San Jose,153 ms
104.19.189.64,SJC,North America,San Jose,154 ms
104.18.95.90,SJC,North America,San Jose,154 ms
104.17.152.255,SJC,North America,San Jose,154 ms
104.18.178.228,SJC,North America,San Jose,154 ms
104.16.1.250,SJC,North America,San Jose,154 ms
104.18.97.155,SJC,North America,San Jose,155 ms
104.16.45.105,SJC,North America,San Jose,155 ms
104.19.190.24,SJC,North America,San Jose,155 ms
104.16.55.64,SJC,North America,San Jose,155 ms
104.18.191.107,SJC,North America,San Jose,155 ms
104.18.132.60,SJC,North America,San Jose,156 ms
104.18.129.173,SJC,North America,San Jose,156 ms
104.17.137.95,SJC,North America,San Jose,156 ms
104.16.5.128,SJC,North America,San Jose,156 ms
104.17.141.173,SJC,North America,San Jose,156 ms
104.17.164.13,SJC,North America,San Jose,156 ms
104.17.140.8,SJC,North America,San Jose,156 ms
104.18.151.207,SJC,North America,San Jose,156 ms
104.16.88.238,SJC,North America,San Jose,156 ms
104.16.47.32,SJC,North America,San Jose,157 ms
104.18.152.64,SJC,North America,San Jose,157 ms
104.17.143.155,SJC,North America,San Jose,157 ms
104.19.185.137,SJC,North America,San Jose,157 ms
104.18.208.116,SJC,North America,San Jose,157 ms
141.101.115.49,SJC,North America,San Jose,157 ms
104.16.117.198,SJC,North America,San Jose,157 ms
104.16.83.135,SJC,North America,San Jose,157 ms
104.17.166.231,SJC,North America,San Jose,157 ms
104.17.198.54,SJC,North America,San Jose,158 ms
104.19.183.18,SJC,North America,San Jose,158 ms
104.17.129.196,SJC,North America,San Jose,158 ms
104.17.114.245,SJC,North America,San Jose,158 ms
104.16.106.121,SJC,North America,San Jose,159 ms
104.17.120.28,SJC,North America,San Jose,159 ms
104.17.162.218,SJC,North America,San Jose,159 ms
104.16.121.125,SJC,North America,San Jose,159 ms
104.18.177.126,SJC,North America,San Jose,159 ms
104.17.177.250,SJC,North America,San Jose,160 ms
104.16.126.138,SJC,North America,San Jose,160 ms
104.18.173.163,SJC,North America,San Jose,160 ms
104.19.155.165,SJC,North America,San Jose,160 ms
104.17.136.170,SJC,North America,San Jose,160 ms
104.16.74.136,SJC,North America,San Jose,161 ms
104.16.138.223,SJC,North America,San Jose,161 ms
104.16.82.37,SJC,North America,San Jose,161 ms
104.16.110.200,SJC,North America,San Jose,161 ms
104.19.213.50,SJC,North America,San Jose,161 ms
104.21.224.36,SJC,North America,San Jose,161 ms
104.16.108.239,SJC,North America,San Jose,162 ms
104.16.56.45,SJC,North America,San Jose,162 ms
104.19.217.9,SJC,North America,San Jose,162 ms
104.17.134.161,SJC,North America,San Jose,162 ms
104.16.123.148,SJC,North America,San Jose,162 ms
104.18.121.36,SJC,North America,San Jose,162 ms
104.18.125.35,SJC,North America,San Jose,162 ms
104.17.170.228,SJC,North America,San Jose,163 ms
104.16.41.118,SJC,North America,San Jose,163 ms
104.19.163.208,SJC,North America,San Jose,163 ms
104.17.122.249,SJC,North America,San Jose,163 ms
104.18.142.123,SJC,North America,San Jose,164 ms
104.16.139.216,SJC,North America,San Jose,164 ms
104.16.141.158,SJC,North America,San Jose,164 ms
104.17.163.162,SJC,North America,San Jose,164 ms
104.17.124.117,SJC,North America,San Jose,164 ms
104.19.167.238,SJC,North America,San Jose,164 ms
104.18.147.62,SJC,North America,San Jose,164 ms
104.17.67.114,SJC,North America,San Jose,164 ms
104.17.157.46,SJC,North America,San Jose,165 ms
104.16.75.130,SJC,North America,San Jose,165 ms
104.16.76.112,SJC,North America,San Jose,165 ms
104.16.97.90,SJC,North America,San Jose,165 ms
104.18.146.84,SJC,North America,San Jose,165 ms
104.17.144.104,SJC,North America,San Jose,165 ms
198.41.209.51,SJC,North America,San Jose,166 ms
104.18.188.24,SJC,North America,San Jose,166 ms
104.18.83.109,SJC,North America,San Jose,166 ms
162.159.243.101,LAX,North America,Los Angeles,166 ms
104.17.142.94,SJC,North America,San Jose,166 ms
104.16.107.142,SJC,North America,San Jose,166 ms
104.16.109.110,SJC,North America,San Jose,166 ms
104.21.226.207,SJC,North America,San Jose,167 ms
104.16.99.196,SJC,North America,San Jose,167 ms
104.16.160.185,SJC,North America,San Jose,167 ms
104.16.125.45,SJC,North America,San Jose,167 ms
104.18.120.187,SJC,North America,San Jose,167 ms
104.19.169.101,SJC,North America,San Jose,168 ms
104.18.93.103,SJC,North America,San Jose,168 ms
104.16.152.156,SJC,North America,San Jose,168 ms
104.16.134.138,SJC,North America,San Jose,169 ms
104.16.127.160,SJC,North America,San Jose,169 ms
104.17.96.43,SJC,North America,San Jose,169 ms
